Age,lx,dx
0," 100,000 ", 723 
1," 99,277 ", 55 
2," 99,223 ", 36 
3," 99,187 ", 29 
4," 99,158 ", 23 
5," 99,135 ", 21 
6," 99,114 ", 20 
7," 99,094 ", 19 
8," 99,076 ", 17 
9," 99,059 ", 15 
10," 99,043 ", 14 
11," 99,030 ", 14 
12," 99,016 ", 19 
13," 98,997 ", 28 
14," 98,969 ", 40 
15," 98,929 ", 54 
16," 98,874 ", 67 
17," 98,807 ", 77 
18," 98,730 ", 84 
19," 98,646 ", 88 
20," 98,558 ", 92 
21," 98,467 ", 96 
22," 98,370 ", 99 
23," 98,272 ", 100 
24," 98,172 ", 99 
25," 98,073 ", 98 
26," 97,975 ", 97 
27," 97,878 ", 98 
28," 97,780 ", 101 
29," 97,679 ", 106 
30," 97,574 ", 111 
31," 97,463 ", 116 
32," 97,347 ", 122 
33," 97,225 ", 129 
34," 97,096 ", 136 
35," 96,959 ", 144 
36," 96,815 ", 152 
37," 96,663 ", 161 
38," 96,502 ", 172 
39," 96,330 ", 185 
40," 96,145 ", 198 
41," 95,947 ", 213 
42," 95,734 ", 229 
43," 95,506 ", 246 
44," 95,260 ", 264 
45," 94,996 ", 285 
46," 94,710 ", 308 
47," 94,402 ", 332 
48," 94,070 ", 358 
49," 93,712 ", 385 
50," 93,327 ", 415 
51," 92,912 ", 448 
52," 92,464 ", 485 
53," 91,979 ", 525 
54," 91,454 ", 570 
55," 90,884 ", 622 
56," 90,262 ", 681 
57," 89,580 ", 746 
58," 88,835 ", 814 
59," 88,021 ", 884 
60," 87,136 ", 959 
61," 86,177 "," 1,041 "
62," 85,136 "," 1,125 "
63," 84,011 "," 1,209 "
64," 82,802 "," 1,292 "
65," 81,510 "," 1,368 "
66," 80,142 "," 1,444 "
67," 78,697 "," 1,533 "
68," 77,164 "," 1,642 "
69," 75,522 "," 1,765 "
70," 73,757 "," 1,892 "
71," 71,865 "," 2,011 "
72," 69,854 "," 2,126 "
73," 67,728 "," 2,233 "
74," 65,495 "," 2,334 "
75," 63,162 "," 2,427 "
76," 60,735 "," 2,519 "
77," 58,216 "," 2,616 "
78," 55,600 "," 2,726 "
79," 52,874 "," 2,847 "
80," 50,026 "," 2,971 "
81," 47,055 "," 3,084 "
82," 43,971 "," 3,184 "
83," 40,787 "," 3,259 "
84," 37,528 "," 3,307 "
85," 34,221 "," 3,303 "
86," 30,918 "," 3,264 "
87," 27,654 "," 3,191 "
88," 24,463 "," 3,086 "
89," 21,377 "," 2,950 "
90," 18,427 "," 2,780 "
91," 15,647 "," 2,571 "
92," 13,076 "," 2,329 "
93," 10,747 "," 2,069 "
94," 8,678 "," 1,802 "
95," 6,876 "," 1,537 "
96," 5,339 "," 1,281 "
97," 4,058 "," 1,041 "
98," 3,017 ", 823 
99," 2,193 ", 634 
100," 1,559 "," 1,559 "
